dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean,CO2eq Emissions (kg)-mean,Energy Consumption (kWh)-mean,Country,Region
CricketZ,0.84,0.0208056028462572,0.864102564102564,98.8152155399322,0.565400171279907,0.0006929021055178,0.0023827035488311,Ireland,leinster
Crop,0.719059523809524,0.00340305485012,0.758095238095238,360.086659145355,0.794127702713013,0.002559051500043,0.0087998882414093,Ireland,leinster
DiatomSizeReduction,0.948366013071895,0.0128077895047486,0.944444444444444,119.763509464264,0.774693489074707,0.0007551540461914,0.002596771190975,Ireland,leinster
DistalPhalanxOutlineAgeGroup,0.702158273381295,0.0125435940821314,0.712230215827338,76.9958374500275,0.764991664886475,0.0004607922073282,0.0015845401809745,Ireland,leinster
DistalPhalanxOutlineCorrect,0.757246376811594,0.0039690040398924,0.760869565217391,85.4513717651367,0.680668926239014,0.0005132280341108,0.0017648528536678,Ireland,leinster
DistalPhalanxTW,0.673381294964029,0.0206513670423127,0.697841726618705,76.8739805698395,0.581594133377075,0.0004585748987858,0.0015769154546375,Ireland,leinster
DodgerLoopDay,0.527272727272727,0.0354238485635996,0.545454545454545,68.7022090435028,0.774453258514404,0.0004138152178225,0.001422998978087,Ireland,leinster
DodgerLoopGame,0.796850393700787,0.0260676304838533,0.779527559055118,121.033827447891,0.678882455825806,0.0049951427383226,0.0171769492901521,Ireland,leinster
DodgerLoopWeekend,0.984126984126984,1.11022302462516E-16,0.984126984126984,121.148932886124,0.663902759552002,0.0007502104089811,0.002579771355311,Ireland,leinster
Earthquakes,0.706474820143885,0.0238171875643839,0.697841726618705,113.970805454254,0.778415298461914,0.0008488623650335,0.0029190088376526,Ireland,leinster
ECG200,0.878,0.0263818119165458,0.88,64.9185915470123,0.768062353134155,0.0003903510208123,0.0013423119300299,Ireland,leinster
ECG5000,0.939866666666667,0.0017190292982945,0.942444444444444,89.3539685726166,0.9594735622406,0.0048009092367694,0.0165090326396364,Ireland,leinster
ECGFiveDays,0.99581881533101,0.0015754541191928,0.995354239256678,119.187209129334,0.82342586517334,0.0007599633566526,0.0026133091131607,Ireland,leinster
