dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean,CO2eq Emissions (kg)-mean,Energy Consumption (kWh)-mean,Country,Region
MiddlePhalanxTW,0.532467532467532,0.0284531198703982,0.558441558441558,60.0114042282105,0.674336194992065,0.0002725876219141,0.0009373553477901,Ireland,leinster
MixedShapesRegularTrain,0.980288659793814,0.0012343611997604,0.982680412371134,379.632388782501,0.846132040023804,0.0029427980804103,0.0101194892811688,Ireland,leinster
MixedShapesSmallTrain,0.952329896907216,0.0039346343725778,0.955051546391753,212.721613121033,0.684085750579834,0.0016904173104936,0.0058128894293207,Ireland,leinster
MoteStrain,0.866932907348243,0.0091571314044514,0.874600638977636,114.743648004532,0.800637865066528,0.0004745662891188,0.0016319055350453,Ireland,leinster
NonInvasiveFetalECGThorax1,0.958880407124682,0.0043706688149788,0.967430025445293,708.239443922043,1.04304232597351,0.005047517392691,0.0173570516074038,Ireland,leinster
NonInvasiveFetalECGThorax2,0.956539440203562,0.0033386706293855,0.963867684478372,712.71666636467,0.703312683105469,0.0050844266411238,0.0174839725627958,Ireland,leinster
OliveOil,0.886666666666667,0.0163299316185545,0.9,55.081221818924,0.322954320907593,0.000233864616837,0.0008041973722497,Ireland,leinster
OSULeaf,0.978512396694215,0.0120898668085353,0.983471074380165,68.3791905879974,0.836985683441162,0.0004123505690128,0.0014179624456692,Ireland,leinster
PhalangesOutlinesCorrect,0.827505827505828,0.0039695539314513,0.853146853146853,142.705914068222,0.659970045089722,0.0007957575449718,0.0027363956774191,Ireland,leinster
Phoneme,0.317299578059072,0.0025535270963945,0.34493670886076,241.27698225975,0.933826875686646,0.0018374212338885,0.0063183962926652,Ireland,leinster
PickupGestureWiimoteZ,0.8,0.0282842712474618,0.84,100.415015888214,0.90373067855835,0.0004232421562032,0.0014554156778708,Ireland,leinster
PigAirwayPressure,0.835576923076923,0.0245898304856623,0.860576923076923,159.889991474152,0.835216522216797,0.0010862719659133,0.0037353964543711,Ireland,leinster
PigArtPressure,0.989423076923077,0.0019230769230769,0.990384615384615,152.149394369125,0.669982099533081,0.0010512054638636,0.003614812207024,Ireland,leinster
PigCVP,0.825,0.046273882367369,0.870192307692308,153.070360898972,0.716181373596191,0.0010584522702607,0.0036397320206348,Ireland,leinster
PLAID,0.477094972067039,0.0233005472173065,0.482309124767225,375.92457818985,0.889536380767822,0.0027136147100305,0.0093313894535189,Ireland,leinster
Plane,1,0,1,41.3914452552795,0.871669721603394,0.0001825240408461,0.000627650971772,Ireland,leinster
PowerCons,0.964444444444444,0.0066666666666666,0.966666666666667,50.1836211681366,0.81356954574585,0.0002230562861461,0.0007670304367054,Ireland,leinster
ProximalPhalanxOutlineCorrect,0.909965635738832,0.0070089615307117,0.927835051546392,72.7911611557007,0.630790758132935,0.0003272420646068,0.0011252972425055,Ireland,leinster
ProximalPhalanxOutlineAgeGroup,0.853658536585366,0.0081625368442348,0.863414634146342,56.2574145793915,0.604669046401978,0.0002467746173864,0.0008485913838705,Ireland,leinster
ProximalPhalanxTW,0.760975609756098,0.0075570406755266,0.765853658536585,59.9345060825348,0.670846462249756,0.0002669136498468,0.000917844087436,Ireland,leinster
RefrigerationDevices,0.504,0.0060809356005287,0.512,165.913738870621,0.67314944267273,0.0011018857879002,0.003789088179021,Ireland,leinster
Rock,0.744,0.008,0.74,121.599125957489,1.23300495147705,0.0005742198288761,0.0019745871937419,Ireland,leinster
ScreenType,0.607466666666667,0.0149333333333333,0.621333333333333,167.573788070679,1.21403150558472,0.0010997764210117,0.0037818346349331,Ireland,leinster
SemgHandGenderCh2,0.852,0.0091530201451639,0.863333333333333,310.449947929382,1.52926154136658,0.0021704935484251,0.0074637421929647,Ireland,leinster
SemgHandMovementCh2,0.468,0.0236267268622257,0.497777777777778,354.197621107101,0.664915990829468,0.0025530989498418,0.0087794190259515,Ireland,leinster
SemgHandSubjectCh2,0.642222222222222,0.0245452467048605,0.682222222222222,354.254393291473,0.672235774993897,0.0025520207832925,0.00877571150184,Ireland,leinster
ShakeGestureWiimoteZ,0.908,0.016,0.92,80.5514887809754,1.01424169540405,0.0003366224113137,0.0011575537260837,Ireland,leinster
ShapeletSim,0.701111111111111,0.051086950811434,0.727777777777778,75.1997493743897,0.691063022613525,0.0003165791247193,0.0010886302667401,Ireland,leinster
ShapesAll,0.9,0.0059628479399994,0.916666666666667,150.405361318588,0.721491432189941,0.0009533548069071,0.0032783301762593,Ireland,leinster
SmallKitchenAppliances,0.7504,0.0049459298642643,0.754666666666667,137.229525756836,0.849601888656616,0.0008942825398819,0.0030751965746187,Ireland,leinster
SmoothSubspace,0.978666666666667,0.008844332774281,0.986666666666667,23.6075267791748,0.678776025772095,0.0001027748023668,0.0003534148393831,Ireland,leinster
SonyAIBORobotSurface1,0.875207986688852,0.0223482640803737,0.873544093178037,73.9976632595062,0.802694892883301,0.0003074671875684,0.0010572967712675,Ireland,leinster
SonyAIBORobotSurface2,0.956768100734523,0.0026875652623013,0.961175236096537,72.9516466617584,0.793225240707397,0.0003030530711934,0.001042117815008,Ireland,leinster
StarLightCurves,0.975060709082079,0.0010517925122733,0.976687712481787,444.994946718216,1.4412145614624,0.0031983515145903,0.0109982686494055,Ireland,leinster
Strawberry,0.978378378378378,0.0017093392757666,0.986486486486486,68.8744091510773,0.810357189178467,0.0004519084477117,0.0015539913265306,Ireland,leinster
SwedishLeaf,0.96864,0.0059523440760762,0.9744,47.9290609359741,0.790031147003174,0.0002783106048679,0.0009570351433706,Ireland,leinster
Symbols,0.973467336683417,0.0030878977880879,0.974874371859296,75.3227231025696,0.822641801834106,0.0003231328723976,0.0011111668382513,Ireland,leinster
SyntheticControl,0.995333333333333,0.0016329931618554,0.996666666666667,32.6452870368958,0.769226837158203,0.0001471575206375,0.0005060350428552,Ireland,leinster
ToeSegmentation1,0.974561403508772,0.0051148700831976,0.982456140350877,74.9927135467529,0.76093544960022,0.0003150274528297,0.0010832944854101,Ireland,leinster
ToeSegmentation2,0.915384615384616,0.0068802091615378,0.915384615384615,75.7698186397552,0.757965517044067,0.0003410225942441,0.0011726847689833,Ireland,leinster
Trace,1,0,1,31.2600855827332,0.75742449760437,0.0001624930138018,0.0005587696697162,Ireland,leinster
TwoLeadECG,0.999122036874451,0.0005552726356748,0.999122036874451,72.2948902606964,0.808012437820435,0.0003013687200464,0.0010363257854796,Ireland,leinster
TwoPatterns,0.9997,0.0002449489742782,0.9995,78.9476568222046,0.43248291015625,0.0004767326973191,0.0016393552288273,Ireland,leinster
UMD,0.869444444444445,0.0641600525691727,0.888888888888889,56.09838347435,0.784989595413208,0.0002355232793045,0.0008099010653342,Ireland,leinster
UWaveGestureLibraryAll,0.911222780569514,0.0050282266007456,0.929927414852038,338.920434617996,1.36869850158691,0.0024690131277542,0.0084902705515869,Ireland,leinster
