dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean,CO2eq Emissions (kg)-mean,Energy Consumption (kWh)-mean,Country,Region
CricketZ,0.8399999999999999,0.0208056028462572,0.8641025641025641,98.81521553993224,0.5654001712799073,0.0006929021055178,0.0023827035488311,Ireland,leinster
Crop,0.7190595238095238,0.00340305485012,0.758095238095238,360.0866591453552,0.7941277027130127,0.002559051500043,0.0087998882414093,Ireland,leinster
DiatomSizeReduction,0.9483660130718954,0.0128077895047486,0.9444444444444444,119.76350946426392,0.774693489074707,0.0007551540461914,0.002596771190975,Ireland,leinster
DistalPhalanxOutlineAgeGroup,0.702158273381295,0.0125435940821314,0.7122302158273381,76.99583745002747,0.7649916648864746,0.0004607922073282,0.0015845401809745,Ireland,leinster
DistalPhalanxOutlineCorrect,0.7572463768115941,0.0039690040398924,0.7608695652173914,85.45137176513671,0.6806689262390136,0.0005132280341108,0.0017648528536678,Ireland,leinster
DistalPhalanxTW,0.6733812949640288,0.0206513670423127,0.697841726618705,76.87398056983947,0.5815941333770752,0.0004585748987858,0.0015769154546375,Ireland,leinster
DodgerLoopDay,0.5272727272727272,0.0354238485635996,0.5454545454545454,68.7022090435028,0.7744532585144043,0.0004138152178225,0.001422998978087,Ireland,leinster
DodgerLoopGame,0.7968503937007874,0.0260676304838533,0.7795275590551181,121.03382744789124,0.6788824558258056,0.0049951427383226,0.0171769492901521,Ireland,leinster
DodgerLoopWeekend,0.984126984126984,1.1102230246251563e-16,0.984126984126984,121.14893288612366,0.663902759552002,0.0007502104089811,0.002579771355311,Ireland,leinster
Earthquakes,0.7064748201438849,0.0238171875643839,0.697841726618705,113.97080545425416,0.778415298461914,0.0008488623650335,0.0029190088376526,Ireland,leinster
ECG200,0.8779999999999999,0.0263818119165458,0.88,64.91859154701233,0.7680623531341553,0.0003903510208123,0.0013423119300299,Ireland,leinster
ECG5000,0.9398666666666669,0.0017190292982945,0.9424444444444444,89.35396857261658,0.9594735622406004,0.0048009092367694,0.0165090326396364,Ireland,leinster
ECGFiveDays,0.9958188153310104,0.0015754541191928,0.9953542392566784,119.1872091293335,0.8234258651733398,0.0007599633566526,0.0026133091131607,Ireland,leinster
ElectricDevices,0.6861107508753729,0.0023294232259699,0.706523148748541,522.6809258937835,0.9330414295196532,0.0038795010570346,0.0133405583020742,Ireland,leinster
EOGHorizontalSignal,0.5734806629834255,0.0252335629760646,0.6077348066298343,244.36917481422424,0.8320319175720214,0.0019087031270643,0.0065635155071762,Ireland,leinster
EOGVerticalSignal,0.4011049723756906,0.0254023512322047,0.43646408839779,242.6908020019532,0.576125192642212,0.0018946235949398,0.0065150997917501,Ireland,leinster
EthanolLevel,0.7347999999999999,0.0193328735577513,0.744,447.1488761901856,0.9189881324768068,0.0035000056722103,0.0120355759777526,Ireland,leinster
FaceAll,0.8207100591715977,0.0161702021797831,0.8183431952662722,98.08066534996031,0.8613324642181397,0.0006149785972898,0.0021147456105976,Ireland,leinster
FaceFour,0.95,0.005567022142689,0.9545454545454546,120.56058688163758,0.7005264759063721,0.0050055444270116,0.0172127178934739,Ireland,leinster
FacesUCR,0.9556097560975608,0.0025812207912825,0.9648780487804878,71.83149185180665,0.7436707973480224,0.0004400453360097,0.0015131972834365,Ireland,leinster
FiftyWords,0.7534065934065934,0.0093658354956758,0.7956043956043956,105.9578381061554,0.8317516803741455,0.000752459973507,0.0025875070012796,Ireland,leinster
Fish,0.9817142857142857,0.0055988336977901,0.9828571428571428,91.62482752799988,0.8176655769348145,0.0006061571233626,0.0020844109398486,Ireland,leinster
FordA,0.9533333333333334,0.0029768004097558,0.9590909090909092,751.5763679504395,0.7552536010742188,0.0058707207144679,0.0201878259124429,Ireland,leinster
FordB,0.8437037037037036,0.0065606569163389,0.8580246913580247,751.9659611225128,0.7182693004608154,0.0058845768934223,0.0202354735765284,Ireland,leinster
FreezerRegularTrain,0.9977543859649124,0.0004759529812719,0.9975438596491228,73.93756713867188,0.8716598510742187,0.0004793727373028,0.0016484336146312,Ireland,leinster
FreezerSmallTrain,0.9431578947368422,0.0207047277079746,0.9484210526315788,119.51596541404724,0.6701600074768066,0.0007609875793509,0.0026168311389107,Ireland,leinster
Fungi,0.9978494623655914,0.0043010752688172,1.0,117.41470456123352,0.8464699268341065,0.000741607048674,0.0025501867185024,Ireland,leinster
GestureMidAirD1,0.7569230769230769,0.0134119967493559,0.7923076923076923,92.67151441574096,0.8251300811767578,0.0005882083246462,0.0020226898596868,Ireland,leinster
GestureMidAirD2,0.6615384615384615,0.0188422287906398,0.6692307692307692,91.8219822883606,0.5621618747711181,0.0005824319442463,0.0020028264446841,Ireland,leinster
GestureMidAirD3,0.4553846153846154,0.030537589601968,0.5076923076923077,92.50970234870913,0.574845552444458,0.0005861693578354,0.0020156784024877,Ireland,leinster
GesturePebbleZ1,0.9186046511627908,0.0063688669477345,0.9302325581395348,84.04256677627563,0.88525390625,0.0005361990288638,0.0018438439121193,Ireland,leinster
GesturePebbleZ2,0.9278481012658228,0.0181679748030472,0.9493670886075948,88.84610705375671,0.8189319133758545,0.000412287986295,0.0014177472405739,Ireland,leinster
GunPoint,0.9986666666666666,0.0026666666666666,1.0,119.88348627090454,0.8383403778076172,0.0005237972974077,0.0018011977008915,Ireland,leinster
GunPointAgeSpan,0.9924050632911392,0.0025316455696202,0.9936708860759492,68.92496347427368,0.7066778182983399,0.0002935803351848,0.0010095436295278,Ireland,leinster
GunPointMaleVersusFemale,0.9917721518987342,0.0025316455696202,0.9936708860759492,63.33594150543213,0.5918758869171142,0.0002691549935914,0.0009255514643539,Ireland,leinster
GunPointOldVersusYoung,0.9771428571428572,0.0023756554836659,0.9746031746031746,64.39849829673767,0.7255205154418946,0.0002731343777068,0.0009392354935673,Ireland,leinster
Ham,0.7485714285714286,0.0327707629220671,0.7428571428571429,83.25519227981567,0.8042483329772949,0.0003782034729308,0.0013005397875927,Ireland,leinster
HandOutlines,0.9459459459459458,0.0070477863840028,0.9621621621621622,1253.0310716152192,0.9638760089874268,0.0088611248071141,0.0304710194360969,Ireland,leinster
Haptics,0.5435064935064935,0.0138663353922484,0.5844155844155844,132.11998567581176,0.8555836200714111,0.0007884578189612,0.0027112938875235,Ireland,leinster
Herring,0.690625,0.0347985272676876,0.765625,119.46453137397766,0.4095154285430908,0.0005198785075898,0.0017877220391323,Ireland,leinster
HouseTwenty,0.9798319327731092,0.0041167894836691,0.9831932773109244,155.57584586143494,0.9091747283935548,0.0007197960810729,0.0024751846807071,Ireland,leinster
InlineSkate,0.5112727272727272,0.047972443880845,0.5563636363636364,141.67777032852172,0.9130363941192629,0.0008706321179805,0.0029938691493632,Ireland,leinster
InsectEPGRegularTrain,0.9975903614457832,0.0019674616407897,0.9959839357429718,125.4822970867157,0.8293990612030029,0.0005466432833232,0.0018797588876507,Ireland,leinster
InsectEPGSmallTrain,0.9606425702811244,0.006425702811245,0.963855421686747,117.2717007637024,0.578089714050293,0.0005162370701143,0.0017752001173101,Ireland,leinster
InsectWingbeatSound,0.603030303030303,0.0076927001069332,0.6196969696969697,82.6526840686798,0.8020232677459717,0.0003761419668708,0.0012934508239915,Ireland,leinster
ItalyPowerDemand,0.9675413022351798,0.0014544829491832,0.9650145772594751,57.9458685874939,0.8150084972381592,0.0002568873764761,0.0008833664361898,Ireland,leinster
LargeKitchenAppliances,0.8922666666666667,0.00687151932092,0.8986666666666666,169.2682199001312,0.8400995254516601,0.0010387018864727,0.0035718157750821,Ireland,leinster
Lightning2,0.8,0.0122677291369637,0.7704918032786885,130.93276267051698,0.8180339336395264,0.0005616279225498,0.0019312870224028,Ireland,leinster
Lightning7,0.8191780821917808,0.0265626293557059,0.8356164383561644,69.18869662284851,0.8022085666656494,0.0002968009114107,0.0010206183229682,Ireland,leinster
Mallat,0.941918976545842,0.0166505818125364,0.957356076759062,133.08895845413207,0.9608557224273682,0.0006134138169504,0.0021093647528431,Ireland,leinster
Meat,0.9133333333333332,0.0163299316185545,0.9166666666666666,105.79917316436767,0.800381088256836,0.0004552377904669,0.0015654400387439,Ireland,leinster
MedicalImages,0.7602631578947369,0.0029304022962263,0.7868421052631579,77.57725601196289,0.8284294605255127,0.0003378548759583,0.0011617918397498,Ireland,leinster
MelbournePedestrian,0.9014230271668822,0.00394843402924,0.91246226821906,99.78995628356934,0.7815697193145752,0.0004238651605794,0.0014575580219716,Ireland,leinster
MiddlePhalanxOutlineCorrect,0.8068728522336771,0.0129311943108088,0.8178694158075601,85.99072952270508,0.7988715648651123,0.0003800066441928,0.0013067404074651,Ireland,leinster
MiddlePhalanxOutlineAgeGroup,0.5077922077922078,0.025778484728934,0.5194805194805194,76.6189739227295,0.7095871448516846,0.0003297772806072,0.0011340151668896,Ireland,leinster
MiddlePhalanxTW,0.512987012987013,0.0159057775505401,0.5194805194805194,79.07391309738159,0.6113626480102539,0.0003433665941945,0.0011807451529189,Ireland,leinster
MixedShapesRegularTrain,0.9764948453608246,0.0016077186548138,0.9789690721649484,260.9303574562073,0.9115732192993165,0.0017672690795109,0.0060771619453274,Ireland,leinster
MixedShapesSmallTrain,0.9390515463917526,0.0047190827219529,0.9430927835051548,101.1831272125244,0.7485134601593018,0.0005796189315283,0.001993153252277,Ireland,leinster
MoteStrain,0.8702875399361023,0.0030975590143235,0.8753993610223643,121.15474071502686,0.8517086029052734,0.0005367573007793,0.0018457636587382,Ireland,leinster
NonInvasiveFetalECGThorax1,0.9520610687022902,0.0015569525232344,0.9618320610687024,629.1098647117615,0.9777988910675048,0.004211563522754,0.0144824316045257,Ireland,leinster
NonInvasiveFetalECGThorax2,0.954910941475827,0.0018377068789076,0.9633587786259542,628.0519548892975,0.7181127548217774,0.0042368552868122,0.0145694031629865,Ireland,leinster
OliveOil,0.7933333333333333,0.0711805216802087,0.8333333333333334,75.5415376663208,0.3245415210723877,0.0003430556892537,0.0011796760346411,Ireland,leinster
OSULeaf,0.956198347107438,0.0099859884079293,0.9545454545454546,89.56396317481995,0.8370141983032227,0.0004594598306638,0.0015799584968068,Ireland,leinster
PhalangesOutlinesCorrect,0.820979020979021,0.0045796929380858,0.8368298368298368,153.47653231620788,0.6410988330841064,0.0007205249785601,0.0024776911626697,Ireland,leinster
Phoneme,0.3200421940928269,0.0068476085937204,0.3422995780590717,146.06756706237792,0.903470230102539,0.000924780909778,0.0031800722469631,Ireland,leinster
PickupGestureWiimoteZ,0.7360000000000001,0.0265329983228432,0.74,125.76739902496338,0.8392327785491943,0.0005501797384934,0.0018919198036258,Ireland,leinster
PigAirwayPressure,0.2875,0.1223612001968331,0.4230769230769231,154.6384663105011,0.8247109889984131,0.0009484302097244,0.0032613958141177,Ireland,leinster
PigArtPressure,0.989423076923077,0.0047105571976599,0.9951923076923076,155.49640192985535,0.6800223827362061,0.0009533273410178,0.0032782357284705,Ireland,leinster
PigCVP,0.9432692307692306,0.0076923076923076,0.9567307692307692,160.88878273963928,0.7443352699279785,0.000991470481336,0.0034093997054247,Ireland,leinster
PLAID,0.8860335195530725,0.0055741637046911,0.8994413407821229,355.0385745048523,0.8014379978179932,0.0024051142895547,0.0082705396728212,Ireland,leinster
Plane,1.0,0.0,1.0,66.87123427391052,0.8357921600341797,0.0002933499531311,0.0010087514077514,Ireland,leinster
PowerCons,0.9566666666666668,0.0073702773119009,0.9666666666666668,71.07301826477051,0.7591049194335937,0.0003130418016014,0.0010764663661265,Ireland,leinster
ProximalPhalanxOutlineCorrect,0.8934707903780069,0.0065201601240585,0.9003436426116839,93.21357431411744,0.7095381259918213,0.0004156053985361,0.0014291549269655,Ireland,leinster
ProximalPhalanxOutlineAgeGroup,0.8400000000000001,0.0139344944947177,0.8634146341463415,81.2242458820343,0.7143591403961181,0.0003595311651372,0.0012363307547574,Ireland,leinster
